Day,CaptureBlock_ID,SB_ID,Setup_Start_LST,Observation_Start_LST,Observation_End_LST,Band,Night_only,Visibility_window,Duration_hrs
28,20250501120621,DelayCal,2.803333333333331,2.803333333333331,3.053333333333331,l,No,,0.25
28,20250501120621,20241203205103,2.803333333333331,3.053333333333331,6.932499999999997,l,No,2.25-3.50,3.879166666666667
28,20250501161406,DelayCal,6.932499999999997,6.932499999999997,7.182499999999997,l,No,,0.25
28,20250501161406,20250110121622,6.932499999999997,7.182499999999997,13.218888888888888,l,No,6.00-9.75,6.036388888888889
28,20250501223117,DelayCal,13.218888888888888,13.218888888888888,13.468888888888888,s,Yes,,0.25
28,20250501223117,20250305103213,13.218888888888888,13.468888888888888,19.775277777777777,s,Yes,11.75-13.50,6.306388888888889
28,20250502050440,DelayCal,19.775277777777777,19.775277777777777,20.025277777777777,l,No,,0.25
28,20250502050440,20241128153001,19.775277777777777,20.025277777777777,23.929444444444442,l,No,20.00-21.83,3.904166666666666
29,20250503091355,DelayCal,23.929444444444442,23.929444444444442,0.1794444444444423,u,No,,0.25
29,20250503091355,20241226065256,23.929444444444442,0.1794444444444423,2.7947222222222194,u,No,23.00-0.58,2.6152777777777776
29,20250502120550,DelayCal,2.7947222222222194,2.7947222222222194,3.0447222222222194,l,No,,0.25
29,20250502120550,20241120212805,2.7947222222222194,3.0447222222222194,6.00333333333333,l,No,0.78-5.08,2.9586111111111113
29,20250502151821,DelayCal,6.00333333333333,6.00333333333333,6.25333333333333,l,No,,0.25
29,20250502151821,20250110142832,6.00333333333333,6.25333333333333,12.28972222222222,l,No,6.00-9.75,6.036388888888889
29,20250502213532,DelayCal,12.28972222222222,12.28972222222222,12.53972222222222,l,No,,0.25
29,20250502213532,20241129143405,12.28972222222222,12.53972222222222,18.994722222222222,l,No,11.50-13.00,6.455
29,20250503041750,DelayCal,18.994722222222222,18.994722222222222,19.244722222222222,l,No,,0.25
29,20250503041750,20241203212413,18.994722222222222,19.244722222222222,21.36916666666667,l,No,23.93-22.83,2.1244444444444457
29,20250503064018,DelayCal,21.36916666666667,21.36916666666667,21.61916666666667,l,No,,0.25
29,20250503064018,20241122134105,21.36916666666667,21.61916666666667,23.929444444444446,l,No,20.50-22.25,2.310277777777776
30,20250504091355,DelayCal,23.929444444444446,23.929444444444446,0.17944444444444585,l,No,,0.25
30,20250504091355,20241122134105,23.929444444444446,0.17944444444444585,5.278333333333336,l,No,23.93-22.25,5.09888888888889
30,20250503143451,DelayCal,5.278333333333336,5.278333333333336,5.528333333333336,l,No,,0.25
30,20250503143451,20250204211014,5.278333333333336,5.528333333333336,9.70777777777778,l,No,5.00-6.25,4.179444444444444
30,20250503190037,DelayCal,9.70777777777778,9.70777777777778,9.95777777777778,l,Yes,,0.25
30,20250503190037,20241210082308,9.70777777777778,9.95777777777778,16.256944444444446,l,Yes,9.50-10.17,6.299166666666666
30,20250504013334,DelayCal,16.256944444444446,16.256944444444446,16.506944444444446,l,No,,0.25
