Day,Observation_ID,Start_LST,End_LST,Band,Night_only,Visibility_window
31,20241216125113,18.629722222222235,21.55972222222223,l,No,0.00-22.50
31,20241216125113,21.55972222222223,2.1316282072803006e-14,l,No,0.00-22.50
32,20241203233431,2.1316282072803006e-14,0.28194444444446576,l,No,21.17-11.00
32,20241203233431,0.28194444444446576,0.5638888888889102,l,No,21.17-11.00
32,20241203233431,0.5638888888889102,0.8458333333333546,l,No,21.17-11.00
32,20241203233431,0.8458333333333546,1.127777777777799,l,No,21.17-11.00
32,20241203233431,1.127777777777799,1.4097222222222436,l,No,21.17-11.00
32,20241203233431,1.4097222222222436,1.6916666666666882,l,No,21.17-11.00
32,20241203233431,1.6916666666666882,1.9736111111111327,l,No,21.17-11.00
32,20241203233431,1.9736111111111327,2.2555555555555773,l,No,21.17-11.00
32,20241203233431,2.2555555555555773,2.537500000000022,l,No,21.17-11.00
32,20241203233431,2.537500000000022,2.8194444444444664,l,No,21.17-11.00
32,20250128170002,2.8194444444444664,5.813333333333356,l,No,2.75-5.33
32,20250204211014,5.813333333333356,9.9927777777778,l,No,5.00-6.25
32,20241216083631,9.9927777777778,18.564722222222244,l,Yes,8.17-10.33
32,20241128153001,20.064722222222265,4.263256414560601e-14,l,No,20.00-21.83
33,20241128153001,4.263256414560601e-14,1.0758333333333767,l,No,0.00-21.83
33,20241128153001,1.0758333333333767,2.151666666666711,l,No,0.00-21.83
33,20241128153001,2.151666666666711,3.227500000000045,l,No,0.00-21.83
33,20241128153001,3.227500000000045,4.303333333333379,l,No,0.00-21.83
33,20241128153001,4.303333333333379,5.379166666666713,l,No,0.00-21.83
33,20241128153001,5.379166666666713,6.455000000000046,l,No,0.00-21.83
33,20241208155301,6.455000000000046,11.48944444444449,l,No,6.00-7.42
33,20241206084729,11.48944444444449,13.933888888888935,l,No,8.25-11.50
33,20250108121124,13.933888888888935,15.984722222222269,l,No,12.00-14.50
33,20241206085652,15.984722222222269,18.414166666666713,l,No,14.00-17.00
33,20241128153001,18.414166666666713,19.490000000000048,l,No,0.00-21.83
33,20241128153001,19.490000000000048,20.565833333333384,l,No,0.00-21.83
33,20241128153001,20.565833333333384,21.64166666666672,l,No,0.00-21.83
33,20241128153001,21.64166666666672,22.717500000000054,l,No,0.00-21.83
33,20241204053653,22.717500000000054,23.68833333333339,l,No,21.50-7.00
33,20241204053653,23.68833333333339,4.263256414560601e-14,l,No,21.50-7.00
34,20241218120525,4.263256414560601e-14,1.049444444444487,s,No,21.75-3.50
34,20241218120525,1.049444444444487,2.0988888888889314,s,No,21.75-3.50
34,20241218120525,2.0988888888889314,3.148333333333376,s,No,21.75-3.50
34,20241218120525,3.148333333333376,4.19777777777782,s,No,21.75-3.50
34,20241204055452,4.19777777777782,5.17277777777782,l,No,22.17-9.00
34,20241204055452,5.17277777777782,6.1477777777778195,l,No,22.17-9.00
